"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"Edit","Context Information","⌃⌥Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Edit","Incremental Find","⌘J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Edit","Copy","⌘C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Text Editing","Delete Next Word","⌥⌦","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Views","Show View (Outline)","⌥⌘Q O","In Windows","org.eclipse.ui.views.showView"
"Database Navigator","Set as default","⌃⇧A","In Windows","org.jkiss.dbeaver.core.navigator.set.default"
"Result Set","Zoom out data grid","⌥9","Results viewer context","org.jkiss.dbeaver.core.resultset.zoomOut"
"SQL Editor","Execute SQL in new tab","⌃\","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statementNew"
"View","Toggle hand tool","Tab","In Windows","org.jkiss.dbeaver.erd.toggleHand"
"SQL Editor","Explain Execution Plan","⌃⇧E","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.explain"
"Text Editing","Expand","⌘Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Result Set","Delete current row","⌥⌦","Results viewer context","org.jkiss.dbeaver.core.resultset.row.delete"
"Quick Search","Quick Search","⌃⌥⇧F","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Result Set","Filter menu","F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu"
"Result Set","Fetch All Data","⌃⇧=","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.all"
"Result Set","Apply changes","⌃S","Results viewer context","org.jkiss.dbeaver.core.resultset.applyChanges"
"Utility","Advanced Copy with last settings","⌃⌥⇧C","In Windows","org.jkiss.dbeaver.core.edit.copy.special.with.last.settings"
"Oracle","Compile","⌃F9","In Windows","org.jkiss.dbeaver.ext.oracle.code.compile"
"Edit","Word Completion","⌃⇧Space","SQL Editor Context","org.eclipse.ui.edit.text.hippieCompletion"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"ANSI Support Commands","Copy Text Without ANSI Escapes","⌘Insert","In Console View","AnsiConsole.command.copy_without_escapes"
"Result Set","Toggle results sort order","⌃2","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleOrder"
"Navigate","Forward History","⌥⌘→","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Entity Properties","Previous Entity Properties tab","⌥⇧↑","In Windows","org.jkiss.dbeaver.entity.propsTab.prevPage"
"Navigate","Previous Page","⌥⇧F7","In Windows","org.eclipse.ui.part.previousPage"
"SQL Editor","Toggle Block Comment","⌃⌘/","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.multi"
"Navigate","Open Resource","⇧⌘R","In Windows","org.eclipse.ui.navigate.openResource"
"Navigate","Previous Tab","⌃⇞","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Navigate","Backward History","⌥⌘←","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Navigate","Go to Line","⌘L","Editing Text","org.eclipse.ui.edit.text.goto.line"
"Result Set","References","⌃⇧1","Results viewer context","org.jkiss.dbeaver.core.resultset.referencesMenu"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Text Editing","Zoom In","⌘=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
