"Focused UI","Make Less Interesting","⌥⇧⌘↓","In Windows"
"Navigate","Next","⌘.","In Windows"
"Edit","Delete","⌦","In Windows"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Text Editing","Text End","⌘↘","Editing Text"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Server","Run","⌥⌘R","In Servers View"
"Navigate","Forward History","⌘]","In Windows"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Edit","Context Information","⌃⇧Space","In Dialogs and Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Run/Debug","Coverage SWTBot Test","⌥⇧E S","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks View"
"Terminal view commands","Paste","⇧Insert","Terminal Control in Focus"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Window","Toggle Split Editor (Vertical)","⌘3","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Navigate","Last Edit Location","⌃Q","In Windows"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Window","Close Dialog","⌘W","In Dialogs"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Focused UI","Focus on Active Task","⌥⇧H","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⌥⇧↑","In Tasks View"
"JavaScript Debug","Evaluate","⌥⇧E","Editing JavaScript Source"
"Window","Quick Switch Editor","⌘E","In Windows"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks Editor"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Edit","Paste","⌘V","In Dialogs and Windows"
